var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,nX,nP,nM,set
-1.2234895e-07,0.47513965,0.62625813,0.85743654,0.0,0.0,0.54916394,0.8231444,0.3123408,0.99643546,0.33049092,0.9784634,0.27875718,0.19911987,0.522123,set_1
1.0437578e-07,0.5279908,0.6451934,0.865726,0.0,0.0,0.54916394,0.8231444,0.37696305,0.99630064,0.35604241,0.9784634,0.27514517,0.19508809,0.52976674,set_1
-9.971204e-09,0.54682714,0.6519506,0.86872154,0.0,0.0,0.54916394,0.8231444,0.39985007,0.9962041,0.36056963,0.9784634,0.27400196,0.19417709,0.53182095,set_1
-1.1223743e-07,0.5545785,0.6547314,0.86995995,0.0,0.0,0.54916394,0.8231444,0.4092742,0.9964628,0.36246172,0.9784634,0.27354208,0.19379719,0.5326607,set_1
-1.7806674e-07,0.5634395,0.6579107,0.87138003,0.0,0.0,0.54916394,0.8231444,0.42004454,0.99647087,0.36464408,0.9784634,0.27300486,0.1933612,0.533634,set_1
0.0,1.120124,0.76907676,0.9068997,0.0,0.0,0.4978133,0.8231444,0.6785335,0.9963363,0.4234071,0.9784634,0.2462687,0.1832623,0.570469,set_1
-2.4367333e-08,1.1432728,0.777409,0.91118586,0.0,0.0,0.4978133,0.8231444,0.7068057,0.99617136,0.44765303,0.9784634,0.24426647,0.18010357,0.57562995,set_1
1.61543e-07,1.5241084,0.91733253,0.9923768,0.0,0.0,0.4978133,0.8231444,1.1672392,0.99646443,0.6134326,0.9784634,0.21967456,0.15391758,0.62640786,set_1
2.28631e-07,1.5361553,0.92186385,0.9953568,0.0,0.0,0.4978133,0.8231444,1.1820484,0.99623954,0.61890393,0.9784634,0.21889901,0.15308788,0.62801313,set_1
-1.1893491e-09,1.590628,0.94251585,1.0093238,0.0,0.0,0.4978133,0.8231444,1.2493632,0.9965722,0.6443216,0.9784634,0.21544304,0.1492876,0.63526934,set_1
-1.6393215e-06,1.8758024,1.0566618,1.1004738,0.0,0.0,0.4978133,0.8231444,1.6236337,0.99628353,0.8325732,0.9784634,0.19607675,0.12513103,0.67879224,set_1
-1.8798667e-06,1.9875218,1.1063931,1.150517,0.0,0.0,0.4978133,0.8231444,1.7905746,0.9962751,0.94749415,0.9784634,0.18758163,0.11283565,0.6995827,set_1
0.0,0.6904508,0.6920198,0.8647349,0.0,0.0,0.50562227,0.8231444,0.37561676,0.9963143,0.3557791,0.9784634,0.26877028,0.19438381,0.5368459,set_1
-2.7415659e-08,0.76835763,0.71968293,0.87739486,0.0,0.0,0.50562227,0.8231444,0.4725501,0.9962921,0.37558788,0.9784634,0.26398134,0.19037966,0.5456389,set_1
2.6073764e-07,1.1635383,0.8623774,0.9506679,0.0,0.0,0.50562227,0.8231444,0.93836874,0.9961391,0.5144575,0.9784634,0.23885965,0.16665365,0.5944867,set_1
-1.4932908e-07,1.5250216,0.9977086,1.0382694,0.0,0.0,0.50562227,0.8231444,1.3718762,0.99646175,0.7192801,0.9784634,0.21426724,0.13851625,0.6472165,set_1
2.386335e-07,1.707699,1.0707189,1.098005,0.0,0.0,0.50562227,0.8231444,1.6101707,0.99626654,0.82618475,0.9784634,0.20222382,0.12462169,0.6731545,set_1
7.235768e-07,1.7453121,1.0877972,1.1145738,0.0,0.0,0.50562227,0.8231444,1.6613301,0.99648863,0.8506594,0.9784634,0.19969444,0.121607654,0.67869794,set_1
1.6120816e-07,1.831341,1.1248124,1.1515356,0.0,0.0,0.50562227,0.8231444,1.787882,0.9962685,0.94607204,0.9784634,0.1928894,0.111790724,0.69531983,set_1
0.0,0.54078937,0.6695275,0.85498875,0.0,0.0,0.46170375,0.8231444,0.29214635,0.9964064,0.3269577,0.9784634,0.27789578,0.19457456,0.52752966,set_1
2.3320169e-08,0.55609053,0.6750291,0.85739815,0.0,0.0,0.46170375,0.8231444,0.3123408,0.99643546,0.33049092,0.9784634,0.27695572,0.19381101,0.5292332,set_1
2.0760197e-08,0.6989495,0.72627026,0.8803692,0.0,0.0,0.46170375,0.8231444,0.50082237,0.996285,0.38169026,0.9784634,0.2675836,0.18462245,0.54779387,set_1
6.880383e-08,0.7201718,0.7338688,0.883881,0.0,0.0,0.46170375,0.8231444,0.5290946,0.99641526,0.38793933,0.9784634,0.26624748,0.18339443,0.55035806,set_1
-4.951044e-07,1.1250826,0.88469154,0.96322244,0.0,0.0,0.46170375,0.8231444,1.0016447,0.99653184,0.5344921,0.9784634,0.24025634,0.15929045,0.6004532,set_1
-8.456641e-07,1.239692,0.9283026,0.9898426,0.0,0.0,0.46170375,0.8231444,1.1389669,0.9964635,0.6031079,0.9784634,0.23215055,0.14998388,0.61786556,set_1
4.941812e-07,1.6109812,1.0758417,1.0996542,0.0,0.0,0.46170375,0.8231444,1.6182486,0.9962676,0.83001333,0.9784634,0.20666416,0.12076538,0.67257047,set_1
0.0,0.50538015,0.65889126,0.8535351,0.0,0.0,0.5587231,0.8231444,0.28002968,0.99622387,0.3248723,0.9784634,0.2771422,0.2017959,0.5210619,set_1
2.726957e-07,0.67224324,0.71720207,0.87949014,0.0,0.0,0.5587231,0.8231444,0.4846668,0.9962757,0.3781852,0.9784634,0.26659098,0.19208285,0.5413261,set_1
1.880074e-07,0.9439195,0.8138974,0.92712307,0.0,0.0,0.5587231,0.8231444,0.7916224,0.99628663,0.4709347,0.9784634,0.24943805,0.17636204,0.5741999,set_1
7.371913e-07,1.2695891,0.93131137,0.99477714,0.0,0.0,0.5587231,0.8231444,1.1645466,0.99648523,0.6124425,0.9784634,0.22833756,0.15473044,0.616932,set_1
9.16226e-07,1.3030893,0.9435808,1.0026814,0.0,0.0,0.5587231,0.8231444,1.2035892,0.9960746,0.6269399,0.9784634,0.2261908,0.15255669,0.62125254,set_1
1.7180338e-07,1.7871772,1.1343215,1.1616118,0.0,0.0,0.5587231,0.8231444,1.820193,0.9963557,0.9632393,0.9784634,0.19281843,0.111777216,0.69540435,set_1
-1.7723314e-06,1.8634048,1.1672534,1.198546,0.0,0.0,0.5587231,0.8231444,1.9400134,0.99651146,1.028843,0.9784634,0.18754603,0.10467532,0.7077787,set_1
0.0,0.545542,0.6573454,0.8567729,0.0,0.0,0.56257576,0.8231444,0.30695564,0.99652284,0.32954168,0.9784634,0.2750774,0.20144057,0.523482,set_1
5.372873e-08,0.6221002,0.68413,0.8685971,0.0,0.0,0.56257576,0.8231444,0.4011964,0.9962406,0.36083895,0.9784634,0.27001077,0.19618353,0.53380567,set_1
-9.538385e-07,0.8913698,0.7800059,0.9144235,0.0,0.0,0.56257576,0.8231444,0.7068057,0.99617136,0.44765303,0.9784634,0.2531375,0.1810962,0.5657663,set_1
-9.058498e-07,0.9204843,0.7903288,0.91966265,0.0,0.0,0.56257576,0.8231444,0.74046314,0.99641794,0.45672753,0.9784634,0.2513448,0.17947872,0.5691765,set_1
-8.82028e-07,0.93680227,0.7961205,0.92263484,0.0,0.0,0.56257576,0.8231444,0.7593113,0.9964823,0.4619036,0.9784634,0.25033575,0.17856354,0.5711008,set_1
-1.172496e-06,1.52361,1.0095073,1.0544608,0.0,0.0,0.56257576,0.8231444,1.4445764,0.996326,0.7506566,0.9784634,0.21181612,0.13691746,0.6512664,set_1
-1.6396348e-06,1.7583582,1.1064582,1.1413808,0.0,0.0,0.56257576,0.8231444,1.7488393,0.9962403,0.92562515,0.9784634,0.19543843,0.11646372,0.68809783,set_1
0.0,0.4321109,0.68191516,0.8252935,0.0,0.0075699645,0.65452194,0.80813146,0.43269566,0.98324305,0.12149299,0.9784634,0.28116325,0.23296,0.48587683,set_1
6.969869e-09,0.4476893,0.6867404,0.8272161,0.0,0.0075699645,0.65452194,0.80813146,0.47610083,0.9832721,0.12206836,0.9784634,0.28019625,0.23169531,0.48810837,set_1
-7.435236e-08,0.47316372,0.69462603,0.8303743,0.0,0.0075699645,0.65452194,0.80813146,0.5507035,0.9831896,0.123054676,0.9784634,0.27860183,0.229463,0.49193516,set_1
-7.7831785e-08,0.48219374,0.6974315,0.8315078,0.0,0.0075699645,0.65452194,0.80813146,0.5764754,0.9831845,0.12339464,0.9784634,0.2780448,0.22868653,0.49326867,set_1
2.4375426e-08,0.50405324,0.7042596,0.8342918,0.0,0.0075699645,0.65452194,0.80813146,0.63480115,0.98318946,0.124162555,0.9784634,0.2767247,0.2269392,0.4963361,set_1
3.208054e-08,0.5051094,0.7045905,0.8344275,0.0,0.0075699645,0.65452194,0.80813146,0.63751394,0.9831894,0.12419823,0.9784634,0.27666166,0.22685817,0.49648014,set_1
2.1108148e-07,0.54536676,0.71720994,0.8396346,0.0,0.0075699645,0.65452194,0.80813146,0.7446705,0.9831343,0.13137871,0.9784634,0.27411878,0.2228496,0.5030316,set_1
0.0,0.76455027,0.7359514,0.8482751,0.0,0.00709139,0.642551,0.80813146,0.9508453,0.9832675,0.13418704,0.9784634,0.26409328,0.21764259,0.5182642,set_1
-4.997587e-08,0.77959037,0.7407197,0.8503498,0.0,0.00709139,0.642551,0.80813146,0.9942505,0.98308486,0.13477491,0.9784634,0.2631994,0.21622293,0.5205777,set_1
-8.5544215e-08,0.8054329,0.74894387,0.85396236,0.0,0.00709139,0.642551,0.80813146,1.0688533,0.9832445,0.14220525,0.9784634,0.2615457,0.21296303,0.52549124,set_1
-9.022518e-08,0.814542,0.75185573,0.855253,0.0,0.00709139,0.642551,0.80813146,1.094625,0.9831774,0.14256898,0.9784634,0.26101494,0.21210855,0.5268765,set_1
