,process,t,Cf_N,G_Cf,V_N,CF_N
109,exp6,6.2,0.015427855270783868,339.9,0.6021645210788521,0.10216452107885197
110,exp6,7.75,0.015039320356337676,339.9,0.6257744501874072,0.12577445018740696
111,exp6,9.3,0.014667291267420715,339.9,0.6487949421933558,0.14879494219335554
112,exp6,10.85,0.01431176800403298,339.9,0.671251581126268,0.17125158112626793
113,exp6,12.4,0.013972750566174478,339.9,0.6931699510157149,0.19316995101571457
114,exp6,13.950000000000001,0.0136502389538452,339.9,0.7145756358912655,0.21457563589126558
115,exp6,15.5,0.013344233167045154,339.9,0.7354942197824916,0.23549421978249147
116,exp6,17.05,0.013054733205774337,339.9,0.7559512867189625,0.2559512867189624
117,exp6,18.6,0.012781739070032747,339.9,0.7759724207302487,0.27597242073024864
118,exp6,20.150000000000002,0.012525250759820389,339.9,0.7955832058459207,0.2955832058459207
119,exp6,21.7,0.012285268275137255,339.9,0.8148092260955486,0.3148092260955486
120,exp6,23.25,0.012061791615983353,339.9,0.833676065508703,0.33367606550870293
121,exp6,24.8,0.01185482078235868,339.9,0.8522093081149537,0.35220930811495377
122,exp6,26.35,0.011664355774263235,339.9,0.8704345379438714,0.37043453794387154
123,exp6,27.900000000000002,0.011490396591697018,339.9,0.8883773390250265,0.3883773390250266
124,exp6,29.45,0.011332943234660033,339.9,0.906063295387989,0.4060632953879891
125,exp6,31.0,0.011191995703152274,339.9,0.9235179910623295,0.42351799106232946
126,exp7,0.0,0.016254170158615838,339.9,0.5012571700723294,0.0012571700723291246
127,exp7,1.55,0.015938451046378484,339.9,0.526205922954631,0.026205922954630964
128,exp7,3.1,0.015626823946286318,339.9,0.5506684825223774,0.050668482522377434
129,exp7,4.65,0.015319288858339348,339.9,0.5746511913943936,0.07465119139439358
130,exp7,6.2,0.015015845782537568,339.9,0.5981603921895043,0.09816039218950443
131,exp7,7.75,0.014716494718880976,339.9,0.6212024275265351,0.12120242752653505
132,exp7,9.3,0.014421235667369576,339.9,0.6437836400243103,0.14378364002431043
133,exp7,10.85,0.014130068628003365,339.9,0.6659103723016555,0.1659103723016557
134,exp7,12.4,0.01384299360078235,339.9,0.6875889669773959,0.18758896697739594
135,exp7,13.950000000000001,0.013560010585706519,339.9,0.7088257666703558,0.208825766670356
136,exp7,15.5,0.013281119582775882,339.9,0.7296271139993611,0.22962711399936114
137,exp7,17.05,0.013006320591990436,339.9,0.7499993515832362,0.24999935158323627
138,exp7,18.6,0.012735613613350181,339.9,0.7699488220408065,0.2699488220408065
139,exp7,20.150000000000002,0.012468998646855117,339.9,0.7894818679908969,0.28948186799089687
140,exp7,21.7,0.012206475692505242,339.9,0.8086048320523322,0.30860483205233236
141,exp7,23.25,0.01194804475030056,339.9,0.8273240568439382,0.32732405684393817
142,exp7,24.8,0.011693705820241065,339.9,0.845645884984539,0.3456458849845391
143,exp7,26.35,0.011443458902326762,339.9,0.8635766590929603,0.36357665909296044
144,exp7,27.900000000000002,0.011197303996557653,339.9,0.881122721788027,0.3811227217880271
145,exp7,29.45,0.010955241102933732,339.9,0.898290415688564,0.39829041568856416
146,exp7,31.0,0.010717270221455003,339.9,0.9150860834133966,0.4150860834133967
147,exp8,0.0,0.01705778682038595,339.9,0.5013270306511209,0.0013270306511207776
148,exp8,1.55,0.01655077506930141,339.9,0.527370154129606,0.027370154129605837
149,exp8,3.1,0.01607095288742441,339.9,0.5526484813100456,0.05264848131004571
150,exp8,4.65,0.015618320274754967,339.9,0.5772041560247123,0.0772041560247121
151,exp8,6.2,0.015192877231293067,339.9,0.6010793221058766,0.10107932210587668
152,exp8,7.75,0.014794623757038711,339.9,0.6243161233858111,0.12431612338581116
153,exp8,9.3,0.014423559851991903,339.9,0.6469567036967871,0.14695670369678726
154,exp8,10.85,0.014079685516152641,339.9,0.6690432068710765,0.1690432068710766
155,exp8,12.4,0.013763000749520929,339.9,0.690617776740951,0.19061777674095104
156,exp8,13.950000000000001,0.01347350555209676,339.9,0.7117225571386818,0.21172255713868204
157,exp8,15.5,0.01321119992388014,339.9,0.7323996918965414,0.23239969189654158
158,exp8,17.05,0.012976083864871063,339.9,0.7526913248468009,0.2526913248468011
159,exp8,18.6,0.012768157375069537,339.9,0.7726395998217322,0.2726395998217324
160,exp8,20.150000000000002,0.012587420454475555,339.9,0.7922866606536072,0.29228666065360726
161,exp8,21.7,0.012433873103089119,339.9,0.8116746511746971,0.31167465117469717
162,exp8,23.25,0.01230751532091023,339.9,0.8308457152172739,0.3308457152172741
163,exp8,24.8,0.012208347107938888,339.9,0.8498419966136093,0.3498419966136095
164,exp8,26.35,0.012136368464175092,339.9,0.868705639195975,0.36870563919597515
165,exp8,27.900000000000002,0.012091579389618842,339.9,0.8874787867966426,0.3874787867966428
166,exp8,29.45,0.012073979884270142,339.9,0.906203583247884,0.40620358324788414
167,exp8,31.0,0.012083569948128986,339.9,0.9249221723819707,0.42492217238197083
168,exp9,0.0,0.016254170158615616,339.9,0.5012571700723285,0.001257170072328302
169,exp9,1.55,0.015938451046378317,339.9,0.5262059229546299,0.026205922954629843
