,process,t,Cf_N,G_Cf,V_N,CF_N
138,exp7_aug_01,18.6,0.0127356136133501,339.9,0.7699488220408065,0.2699488220408065
139,exp7_aug_01,20.15,0.0124689986468551,339.9,0.7894818679908969,0.2894818679908968
140,exp7_aug_01,21.7,0.0122064756925052,339.9,0.8086048320523322,0.3086048320523323
141,exp7_aug_01,23.25,0.0119480447503005,339.9,0.8273240568439382,0.3273240568439381
142,exp7_aug_01,24.8,0.011693705820241,339.9,0.845645884984539,0.3456458849845391
143,exp7_aug_01,26.35,0.0114434589023267,339.9,0.8635766590929603,0.3635766590929604
144,exp7_aug_01,27.9,0.0111973039965576,339.9,0.881122721788027,0.3811227217880271
145,exp7_aug_01,29.45,0.0109552411029337,339.9,0.898290415688564,0.3982904156885641
146,exp7_aug_01,31.0,0.010717270221455,339.9,0.9150860834133966,0.4150860834133967
126,exp7_aug_02,0.0,0.0162541701586158,339.9,0.5012571700723294,0.0012571700723291
127,exp7_aug_02,1.55,0.0159384510463784,339.9,0.526205922954631,0.0262059229546309
128,exp7_aug_02,3.1,0.0156268239462863,339.9,0.5506684825223774,0.0506684825223774
129,exp7_aug_02,4.65,0.0153192888583393,339.9,0.5746511913943936,0.0746511913943935
130,exp7_aug_02,6.2,0.0150158457825375,339.9,0.5981603921895043,0.0981603921895044
131,exp7_aug_02,7.75,0.0147164947188809,339.9,0.6212024275265351,0.121202427526535
132,exp7_aug_02,9.3,0.0144212356673695,339.9,0.6437836400243103,0.1437836400243104
133,exp7_aug_02,10.85,0.0141300686280033,339.9,0.6659103723016555,0.1659103723016557
134,exp7_aug_02,12.4,0.0138429936007823,339.9,0.6875889669773959,0.1875889669773959
135,exp7_aug_02,13.95,0.0135600105857065,339.9,0.7088257666703558,0.208825766670356
136,exp7_aug_02,15.5,0.0132811195827758,339.9,0.7296271139993611,0.2296271139993611
137,exp7_aug_02,17.05,0.0130063205919904,339.9,0.7499993515832362,0.2499993515832362
138,exp7_aug_02,18.6,0.0127356136133501,339.9,0.7699488220408065,0.2699488220408065
139,exp7_aug_02,20.15,0.0124689986468551,339.9,0.7894818679908969,0.2894818679908968
140,exp7_aug_02,21.7,0.0122064756925052,339.9,0.8086048320523322,0.3086048320523323
141,exp7_aug_02,23.25,0.0119480447503005,339.9,0.8273240568439382,0.3273240568439381
142,exp7_aug_02,24.8,0.011693705820241,339.9,0.845645884984539,0.3456458849845391
143,exp7_aug_02,26.35,0.0114434589023267,339.9,0.8635766590929603,0.3635766590929604
144,exp7_aug_02,27.9,0.0111973039965576,339.9,0.881122721788027,0.3811227217880271
145,exp7_aug_02,29.45,0.0109552411029337,339.9,0.898290415688564,0.3982904156885641
146,exp7_aug_02,31.0,0.010717270221455,339.9,0.9150860834133966,0.4150860834133967
126,exp7_aug_03,0.0,0.0162541701586158,339.9,0.5012571700723294,0.0012571700723291
127,exp7_aug_03,1.55,0.0159384510463784,339.9,0.526205922954631,0.0262059229546309
128,exp7_aug_03,3.1,0.0156268239462863,339.9,0.5506684825223774,0.0506684825223774
129,exp7_aug_03,4.65,0.0153192888583393,339.9,0.5746511913943936,0.0746511913943935
130,exp7_aug_03,6.2,0.0150158457825375,339.9,0.5981603921895043,0.0981603921895044
131,exp7_aug_03,7.75,0.0147164947188809,339.9,0.6212024275265351,0.121202427526535
132,exp7_aug_03,9.3,0.0144212356673695,339.9,0.6437836400243103,0.1437836400243104
133,exp7_aug_03,10.85,0.0141300686280033,339.9,0.6659103723016555,0.1659103723016557
134,exp7_aug_03,12.4,0.0138429936007823,339.9,0.6875889669773959,0.1875889669773959
